Fluor,BUV395,LIVE DEAD Blue,BUV496,BUV563,BUV661,BUV737,BUV805,BV421,eFluor 450,violetFluor 450,Pacific Blue,CellTrace Violet,BV480,BV510,eFluor 506,V500,BV570,Zombie Yellow,Super Bright 600,BV605,BV650,BV711,BV750,Super Bright 780,BV786,BV785,GFP,Alexa Fluor 488,FITC,Zombie Green,CFSE,Spark Blue 550,Alexa Fluor 532,LIVE DEAD Green,NovaFluor Blue 610-70S,PerCP,PerCP-Cy5.5,PerCP-eFluor 710,PE,Spark YG 570,PE-eFluor 610,PE-CF594,PE-Dazzle 594,PE-Texas Red,Alexa Fluor 594,mCherry,PE-Fire 640,7-AAD,PE-Cy5,PE-Cy5.5,PE-Fire 700,NovaFluor Yellow 730,PE-Cy7,NovaFluor Yellow 755,PE-Fire 810,APC,eFluor 660,Alexa Fluor 647,Spark NIR 685,R718,Alexa Fluor 700,Zombie NIR,APC-Vio 770,APC-Cy7,APC-Fire 750,Ghost Dye Red 780,APC-Fire 810
Alexa Fluor 647,0,0,0,0.01,0.75,0.19,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0.03,0.21,0.2,0.03,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.02,0.25,0.29,0.22,0.01,0.01,0.04,0.06,0.05,0.06,0.09,0.09,0.23,0.13,0.32,0.15,0.2,0.16,0.03,0.12,0.01,0.9,1,1,,,,,,,,,
Spark NIR 685,0,0,0,0.01,0.63,0.27,0.04,0,0,0,0,0,0,0,0,0,0.01,0.01,0.04,0.04,0.2,0.3,0.08,0.04,0.05,0.05,0,0,0,0,0,0,0,0,0.02,0.24,0.38,0.31,0.01,0.01,0.03,0.06,0.05,0.05,0.08,0.08,0.2,0.15,0.29,0.22,0.29,0.23,0.05,0.17,0.02,0.68,0.91,0.88,1,,,,,,,,
R718,0,0,0,0,0.38,0.49,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.12,0.39,0.15,0.08,0.09,0.1,0,0,0,0,0,0,0,0,0.01,0.11,0.31,0.36,0,0,0.01,0.02,0.02,0.02,0.04,0.03,0.12,0.08,0.15,0.15,0.24,0.32,0.08,0.27,0.04,0.41,0.54,0.5,0.68,1,,,,,,,
Alexa Fluor 700,0,0,0,0,0.41,0.47,0.06,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0.05,0.05,0.17,0.48,0.18,0.1,0.11,0.11,0,0,0,0,0,0,0,0,0.02,0.15,0.39,0.46,0.01,0.01,0.02,0.05,0.04,0.04,0.08,0.08,0.18,0.15,0.2,0.24,0.34,0.4,0.09,0.29,0.04,0.43,0.56,0.52,0.69,0.98,1,,,,,,
Zombie NIR,0,0,0.01,0.01,0.22,0.51,0.13,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.04,0.04,0.11,0.35,0.31,0.24,0.26,0.26,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.13,0.29,0.35,0.01,0.01,0.02,0.04,0.03,0.03,0.04,0.03,0.11,0.09,0.12,0.15,0.21,0.32,0.26,0.42,0.12,0.26,0.31,0.29,0.42,0.72,0.65,1,,,,,
APC-Vio 770,0,0,0,0,0.19,0.32,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.08,0.22,0.19,0.21,0.21,0.23,0,0,0,0,0,0,0,0,0.01,0.08,0.18,0.2,0,0.01,0.02,0.03,0.02,0.02,0.04,0.04,0.09,0.08,0.1,0.11,0.15,0.24,0.29,0.42,0.15,0.23,0.26,0.24,0.33,0.56,0.42,0.8,1,,,,
APC-Cy7,0,0,0,0,0.17,0.33,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.08,0.22,0.19,0.21,0.21,0.23,0,0,0,0,0,0,0,0,0.01,0.08,0.17,0.19,0,0,0.01,0.02,0.02,0.02,0.03,0.04,0.08,0.08,0.09,0.1,0.15,0.23,0.29,0.42,0.15,0.2,0.24,0.22,0.32,0.56,0.42,0.81,1,1,,,
APC-Fire 750,0,0,0,0,0.13,0.31,0.22,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.05,0.2,0.19,0.22,0.22,0.24,0,0,0,0,0,0,0,0,0,0.05,0.16,0.18,0,0,0.01,0.02,0.01,0.01,0.02,0.03,0.06,0.06,0.08,0.09,0.13,0.22,0.29,0.4,0.17,0.16,0.19,0.18,0.29,0.52,0.38,0.76,0.99,0.99,1,,
Ghost Dye Red 780,0,0,0,0,0.12,0.33,0.27,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0.02,0.02,0.06,0.25,0.29,0.35,0.35,0.37,0,0,0,0,0,0,0,0,0,0.05,0.16,0.19,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.04,0.05,0.08,0.1,0.16,0.19,0.3,0.1,0.15,0.17,0.16,0.26,0.5,0.37,0.75,0.97,0.97,0.98,1,
APC-Fire 810,0,0,0,0,0.13,0.21,0.26,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.06,0.15,0.13,0.19,0.18,0.21,0,0,0,0,0,0,0,0,0.01,0.05,0.12,0.15,0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.08,0.06,0.08,0.08,0.1,0.16,0.22,0.23,0.25,0.16,0.17,0.16,0.21,0.39,0.27,0.4,0.67,0.68,0.75,0.75,1
---,BUV395,LIVE DEAD Blue,BUV496,BUV563,BUV661,BUV737,BUV805,BV421,eFluor 450,violetFluor 450,Pacific Blue,CellTrace Violet,BV480,BV510,eFluor 506,V500,BV570,Zombie Yellow,Super Bright 600,BV605,BV650,BV711,BV750,Super Bright 780,BV786,BV785,GFP,Alexa Fluor 488,FITC,Zombie Green,CFSE,Spark Blue 550,Alexa Fluor 532,LIVE DEAD Green,NovaFluor Blue 610-70S,PerCP,PerCP-Cy5.5,PerCP-eFluor 710,PE,Spark YG 570,PE-eFluor 610,PE-CF594,PE-Dazzle 594,PE-Texas Red,Alexa Fluor 594,mCherry,PE-Fire 640,7-AAD,PE-Cy5,PE-Cy5.5,PE-Fire 700,NovaFluor Yellow 730,PE-Cy7,NovaFluor Yellow 755,PE-Fire 810,APC,eFluor 660,Alexa Fluor 647,Spark NIR 685,R718,Alexa Fluor 700,Zombie NIR,APC-Vio 770,APC-Cy7,APC-Fire 750,Ghost Dye Red 780,APC-Fire 810
Complexity™ Index: 103709.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
